2014-07-29 11:03:19.245 DEBUG[main|ROOT] 连接池数量：  2
2014-07-29 11:03:21.872 DEBUG[main|ROOT] insert SQL insert into XSYS_SWHTL( XH , TLRQ , YTLX , CJRY , TLYJ , DSRYJ , TLBL , TLJG , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.904 DEBUG[main|ROOT] insert SQL insert into XSYS_SLJD( AJJZJD , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,? )
2014-07-29 11:03:21.910 DEBUG[main|ROOT] insert SQL insert into XSYS_YCSXJL( XH , YY , SQRQ , PZJG , PZRQ , KSRQ , YCQJ , XGWS , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.916 DEBUG[main|ROOT] insert SQL insert into XSYS_QZCSJL( BGR , XH , FS , ZL , JG , SSRQ , JYCS , BGYY , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.920 DEBUG[main|ROOT] insert SQL insert into XSYS_DSRSSHD( TSR , BTSR , TSRQ , DWTS , YBHRGX , SLYQ , SQCS , ZZSS , YSR , DBRQ , CRTSSS , SQFSCS , FSDX , FSCLJG , WCTCS , WCTYY , JBDTCS , WLTTCS , JBDTHTTCL , BHLX , JJDL , CSZDDX , FLYZYY , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.943 DEBUG[main|ROOT] insert SQL insert into XSYS_KCSXJL( XH , LX , ZZSY , YQSLSY , QTSY , QSRQ , JSRQ , XGWS , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.950 DEBUG[main|ROOT] insert SQL insert into XSYS_PBJL( XH , PBJG , PBLD , PBRQ , PBWH , PBYQ , BGJG , YBJGRQ , PBSX , DQHB , GPDB , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.954 DEBUG[main|ROOT] insert SQL insert into XSYS_BHXX( FHFY , BHLX , BHRQ , BHCL , YSJZRQ , JSBHRQ , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.962 DEBUG[main|ROOT] insert SQL insert into XSYS_ZKZM( BGR , XH , ZM , ZMZS , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.965 DEBUG[main|ROOT] insert SQL insert into XSYS_KBYJ( XH , LX , TCR , NR , ZJ , CN , BCNLY , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,? )
